TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,G(t),Tp,ηref,A,P,Energi/hari,SSavg,Gavg,Tavg,Eavg,Etotal
2025-02-16,25.3,32.4,28.8,85,0,1.7,3,330,2,S,141.6666667,33.05,0.19356,50,1096.84,1.864628,,,,,
2025-02-17,25.6,32.4,27.3,89,8888,8,3,320,1,S,666.6666667,47.3,0.18216,50,4857.6,38.8608,,,,,
2025-02-18,25.4,31.8,28.5,84,2,8,6,210,3,S,666.6666667,48.5,0.1812,50,4832,38.656,,,,,
2025-02-19,24.2,31.5,27,88,5.8,5.8,6,220,2,SW,483.3333333,41.5,0.1868,50,3611.466667,20.94650667,,,,,
2025-02-20,24.5,31.5,28,80,8888,1.3,5,290,2,W,108.3333333,31.25,0.195,50,845,1.0985,,,,,
2025-02-21,25,31.8,28.1,88,1.4,5.1,3,290,2,NW,425,40.85,0.18732,50,3184.44,16.240644,,,,,
2025-02-22,25.5,32.7,28.4,86,0,6.7,4,180,2,S,558.3333333,45.15,0.18388,50,4106.653333,27.51457733,,,,,
2025-02-23,24.6,32,26.8,90,25,8,3,160,2,S,666.6666667,46.8,0.18256,50,4868.266667,38.94613333,,,,,
2025-02-24,24.3,31.9,27.7,85,2.6,8,3,267,2,SE,666.6666667,47.7,0.18184,50,4849.066667,38.79253333,,,,,
2025-02-25,25.8,32.7,27.1,89,0.7,6.5,3,240,2,SE,541.6666667,43.35,0.18532,50,4015.266667,26.09923333,,,,,
2025-02-26,25,31.8,27.6,88,5.6,7.4,3,278,2,SE,616.6666667,46.1,0.18312,50,4516.96,33.425504,,,,,
2025-02-27,25,32.9,26.9,87,60,8,3,190,1,SE,666.6666667,46.9,0.18248,50,4866.133333,38.92906667,,,,,
2025-02-28,24.3,32.6,28.3,82,5.5,6.8,3,290,2,SE,566.6666667,45.3,0.18376,50,4165.226667,28.32354133,,,,,
2025-03-01,25.2,33.4,28.8,80,0,8,3,150,1,SE,666.6666667,48.8,0.18096,50,4825.6,38.6048,7.48,547,28.5,29.9,926.9
2025-03-02,25.4,33.2,29,81,0,8,3,300,2,SE,666.6666667,49,0.1808,50,4821.333333,38.57066667,,,,,
2025-03-03,26,34,29.9,75,0,8,4,90,3,E,666.6666667,49.9,0.18008,50,4802.133333,38.41706667,,,,,
2025-03-04,27.5,34,30.2,71,0,8,4,130,2,E,666.6666667,50.2,0.17984,50,4795.733333,38.36586667,,,,,
2025-03-05,26.3,34.3,30.2,74,0,8,4,80,2,SE,666.6666667,50.2,0.17984,50,4795.733333,38.36586667,,,,,
2025-03-06,25.8,34.2,29.5,76,0,8,4,170,2,SE,666.6666667,49.5,0.1804,50,4810.666667,38.48533333,,,,,
2025-03-07,25.4,34.2,29.4,80,0,8,3,280,2,SE,666.6666667,49.4,0.18048,50,4812.8,38.5024,,,,,
2025-03-08,25.6,33,28.2,84,8888,8,3,310,1,SE,666.6666667,48.2,0.18144,50,4838.4,38.7072,,,,,
2025-03-09,26.3,31.2,28.7,82,3,8,3,140,2,SE,666.6666667,48.7,0.18104,50,4827.733333,38.62186667,,,,,
2025-03-10,25.6,33.3,28.7,83,1.5,8,3,180,2,S,666.6666667,48.7,0.18104,50,4827.733333,38.62186667,,,,,
2025-03-11,26.1,33.3,28.2,86,0.5,7.3,3,50,1,W,608.3333333,46.45,0.18284,50,4449.106667,32.47847867,,,,,
2025-03-12,26.1,32.6,28.2,85,5.2,6.7,3,160,2,SE,558.3333333,44.95,0.18404,50,4110.226667,27.53851867,,,,,
2025-03-13,24.6,30.3,27.4,88,52.7,4.4,3,150,2,S,366.6666667,38.4,0.18928,50,2776.106667,12.21486933,,,,,
2025-03-14,25.8,31.7,26.9,90,15.6,8,3,120,1,S,666.6666667,46.9,0.18248,50,4866.133333,38.92906667,,,,,
2025-03-15,25.3,31,26.9,91,24.8,5.4,3,140,1,SE,450,40.4,0.18768,50,3378.24,18.242496,,,,,
2025-03-16,25.2,31.9,28,84,14.6,1.5,4,250,2,SE,125,31.75,0.1946,50,973,1.4595,,,,,
2025-03-17,25.6,32.7,28.3,85,0,3,4,230,2,S,250,35.8,0.19136,50,1913.6,5.7408,,,,,
2025-03-18,25.4,32.3,28.4,85,0,8,4,270,2,W,666.6666667,48.4,0.18128,50,4834.133333,38.67306667,,,,,
2025-03-19,22.8,32.4,28.1,85,82.5,8,4,260,2,W,666.6666667,48.1,0.18152,50,4840.533333,38.72426667,,,,,
